Sex,Marital Status,Race,Native Country,Industry,Occupation,Education Enrollment,FT/PT Enrollment,Education Level Attained,Household Member Status,Weekly Earnings,Weekly Earnings Categories,PWSSWGT
Male,Married - spouse present,White only,United States,State government,Construction and extraction occupations,Not enrolled,,"Some college, no degree",Adult civilian household member,1500.0,1500-1999,3131.1945
Female,Never married,White only,United States,State government,Management occupations,,,Bachelor's degree,Adult civilian household member,866.0,750-999,3414.4259
Female,Married - spouse present,Asian only,,State government,Production occupations,,,High school graduate,Adult civilian household member,800.0,750-999,3356.7695
Female,Married - spouse present,White only,United States,Local government,Education instruction and library occupations,Not enrolled,,Master's degree,Adult civilian household member,866.0,750-999,4638.1003
Male,Married - spouse present,White only,United States,State government,Sales and related occupations,Not enrolled,,High school graduate,Adult civilian household member,1480.0,1250-1499,2885.32
Male,Married - spouse present,White only,United States,State government,Management occupations,,,Bachelor's degree,Adult civilian household member,4140.0,2000+,4838.5023
Female,Never married,White only,United States,Private nonprofit,Healthcare support occupations,Enrolled,Part time,Bachelor's degree,Adult civilian household member,154.0,<250,6378.7816
Male,Divorced,White only,United States,State government,"Installation, maintenance, and repair occupations",Not enrolled,,11th grade,Adult civilian household member,992.0,750-999,2357.9133
Female,Never married,White only,United States,State government,Management occupations,Not enrolled,,"Some college, no degree",Adult civilian household member,832.0,750-999,2174.6574
Male,Never married,White only,United States,State government,Transportation and material moving occupations,Not enrolled,,High school graduate,Adult civilian household member,400.0,250-499,2776.5234
Male,Married - spouse absent,White only,United States,Private for-profit,Office and administrative support occupations,,,High school graduate,Adult civilian household member,512.0,500-749,1813.7498
Male,Married - spouse present,White only,United States,Private nonprofit,Education instruction and library occupations,Not enrolled,,Doctorate degree,Adult civilian household member,2120.0,2000+,2241.2966
Female,Married - spouse present,White only,,Local government,Management occupations,Not enrolled,,Master's degree,Adult civilian household member,1154.0,1000-1249,2340.7832
Female,Married - spouse present,White only,United States,Private nonprofit,Education instruction and library occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,1210.0,1000-1249,731.4933
Male,Married - spouse present,White only,United States,State government,Sales and related occupations,Not enrolled,,"Some college, no degree",Adult civilian household member,1960.0,1500-1999,744.6374
Male,Married - spouse present,White only,United States,State government,Construction and extraction occupations,,,High school graduate,Adult civilian household member,1008.0,1000-1249,542.1529
Male,Never married,White only,United States,Private nonprofit,Office and administrative support occupations,Not enrolled,,"Some college, no degree",Adult civilian household member,960.0,750-999,771.3349
