SeriesID,Group,Year,Period,Value
LEU0252881500,All,2014,Q01,796
LEU0252881500,All,2014,Q02,780
LEU0252881500,All,2014,Q03,790
LEU0252881500,All,2014,Q04,799
LEU0252881500,All,2015,Q01,808
LEU0252881500,All,2015,Q02,801
LEU0252881500,All,2015,Q03,803
LEU0252881500,All,2015,Q04,825
LEU0252881500,All,2016,Q01,830
LEU0252881500,All,2016,Q02,824
LEU0252881500,All,2016,Q03,827
LEU0252881500,All,2016,Q04,849
LEU0252881500,All,2017,Q01,865
LEU0252881500,All,2017,Q02,859
LEU0252881500,All,2017,Q03,859
LEU0252881500,All,2017,Q04,857
LEU0252881500,All,2018,Q01,881
LEU0252881500,All,2018,Q02,876
LEU0252881500,All,2018,Q03,887
LEU0252881500,All,2018,Q04,900
LEU0252881500,All,2019,Q01,905
LEU0252881500,All,2019,Q02,908
LEU0252881500,All,2019,Q03,919
LEU0252881500,All,2019,Q04,936
LEU0252881500,All,2020,Q01,957
LEU0252881500,All,2020,Q02,1002
LEU0252881500,All,2020,Q03,994
LEU0252881500,All,2020,Q04,984
LEU0252881500,All,2021,Q01,989
LEU0252881500,All,2021,Q02,990
LEU0252881500,All,2021,Q03,1001
LEU0252881500,All,2021,Q04,1010
LEU0252881500,All,2022,Q01,1037
LEU0252881500,All,2022,Q02,1041
LEU0252881500,All,2022,Q03,1070
LEU0252881500,All,2022,Q04,1085
LEU0252881500,All,2023,Q01,1100
LEU0252881500,All,2023,Q02,1100
LEU0252881500,All,2023,Q03,1118
LEU0252881500,All,2023,Q04,1145
LEU0252881500,All,2024,Q01,1139
LEU0252881500,All,2024,Q02,1143
LEU0252881500,All,2024,Q03,1165
LEU0252881500,All,2024,Q04,1192
LEU0252881800,Men,2014,Q01,872
LEU0252881800,Men,2014,Q02,857
LEU0252881800,Men,2014,Q03,870
LEU0252881800,Men,2014,Q04,882
LEU0252881800,Men,2015,Q01,895
LEU0252881800,Men,2015,Q02,886
LEU0252881800,Men,2015,Q03,889
LEU0252881800,Men,2015,Q04,907
LEU0252881800,Men,2016,Q01,912
LEU0252881800,Men,2016,Q02,909
LEU0252881800,Men,2016,Q03,911
LEU0252881800,Men,2016,Q04,927
LEU0252881800,Men,2017,Q01,950
LEU0252881800,Men,2017,Q02,934
LEU0252881800,Men,2017,Q03,937
LEU0252881800,Men,2017,Q04,946
LEU0252881800,Men,2018,Q01,965
LEU0252881800,Men,2018,Q02,959
LEU0252881800,Men,2018,Q03,973
LEU0252881800,Men,2018,Q04,993
LEU0252881800,Men,2019,Q01,1004
LEU0252881800,Men,2019,Q02,1000
LEU0252881800,Men,2019,Q03,1002
LEU0252881800,Men,2019,Q04,1022
LEU0252881800,Men,2020,Q01,1066
LEU0252881800,Men,2020,Q02,1087
LEU0252881800,Men,2020,Q03,1104
LEU0252881800,Men,2020,Q04,1072
LEU0252881800,Men,2021,Q01,1089
LEU0252881800,Men,2021,Q02,1094
LEU0252881800,Men,2021,Q03,1100
LEU0252881800,Men,2021,Q04,1103
LEU0252881800,Men,2022,Q01,1128
LEU0252881800,Men,2022,Q02,1144
LEU0252881800,Men,2022,Q03,1164
LEU0252881800,Men,2022,Q04,1176
LEU0252881800,Men,2023,Q01,1186
LEU0252881800,Men,2023,Q02,1181
LEU0252881800,Men,2023,Q03,1208
LEU0252881800,Men,2023,Q04,1231
LEU0252881800,Men,2024,Q01,1227
LEU0252881800,Men,2024,Q02,1253
LEU0252881800,Men,2024,Q03,1264
LEU0252881800,Men,2024,Q04,1302
LEU0252882700,Women,2014,Q01,722
LEU0252882700,Women,2014,Q02,716
LEU0252882700,Women,2014,Q03,715
LEU0252882700,Women,2014,Q04,724
LEU0252882700,Women,2015,Q01,730
LEU0252882700,Women,2015,Q02,726
LEU0252882700,Women,2015,Q03,721
LEU0252882700,Women,2015,Q04,729
LEU0252882700,Women,2016,Q01,750
LEU0252882700,Women,2016,Q02,744
LEU0252882700,Women,2016,Q03,745
LEU0252882700,Women,2016,Q04,758
LEU0252882700,Women,2017,Q01,765
LEU0252882700,Women,2017,Q02,780
LEU0252882700,Women,2017,Q03,767
LEU0252882700,Women,2017,Q04,769
LEU0252882700,Women,2018,Q01,783
LEU0252882700,Women,2018,Q02,780
LEU0252882700,Women,2018,Q03,796
LEU0252882700,Women,2018,Q04,794
LEU0252882700,Women,2019,Q01,806
LEU0252882700,Women,2019,Q02,814
LEU0252882700,Women,2019,Q03,825
LEU0252882700,Women,2019,Q04,843
LEU0252882700,Women,2020,Q01,857
LEU0252882700,Women,2020,Q02,913
LEU0252882700,Women,2020,Q03,902
LEU0252882700,Women,2020,Q04,894
LEU0252882700,Women,2021,Q01,900
LEU0252882700,Women,2021,Q02,899
LEU0252882700,Women,2021,Q03,916
LEU0252882700,Women,2021,Q04,930
LEU0252882700,Women,2022,Q01,939
LEU0252882700,Women,2022,Q02,943
LEU0252882700,Women,2022,Q03,971
LEU0252882700,Women,2022,Q04,975
LEU0252882700,Women,2023,Q01,996
LEU0252882700,Women,2023,Q02,993
LEU0252882700,Women,2023,Q03,1005
LEU0252882700,Women,2023,Q04,1031
LEU0252882700,Women,2024,Q01,1021
LEU0252882700,Women,2024,Q02,1017
LEU0252882700,Women,2024,Q03,1054
LEU0252882700,Women,2024,Q04,1083
