,weighted_mean,year,sex
0,974.9796976541163,2014,Male
1,736.5641412061897,2014,Female
2,860.0638890482975,2014,All
3,1004.266437327168,2015,Male
4,757.6073967549801,2015,Female
5,885.3454816206176,2015,All
6,1027.808794350646,2016,Male
7,778.2779149851892,2016,Female
8,907.6901647821043,2016,All
9,1057.6895821560659,2017,Male
10,805.1096153774163,2017,Female
11,935.9157269298577,2017,All
12,1091.2050311035462,2018,Male
13,833.4087132273614,2018,Female
14,967.1142224229751,2018,All
15,1130.3693241963754,2019,Male
16,865.7664478053899,2019,Female
17,1002.5924897500387,2019,All
18,1191.1196667335246,2020,Male
19,931.6370248432047,2020,Female
20,1066.4894328011974,2020,All
21,1211.4690578571572,2021,Male
22,958.5762221336678,2021,Female
23,1089.6287530435661,2021,All
24,1271.089585944863,2022,Male
25,1011.7374957720547,2022,Female
26,1146.660732202689,2022,All
27,1423.066724235858,2023,Male
28,1102.1171406238527,2023,Female
29,1268.509956870966,2023,All
30,1624.9737522082678,2024,Male
31,1213.4358558172926,2024,Female
32,1426.376788419645,2024,All
33,1684.6910267935657,2025,Male
34,1242.3485676755743,2025,Female
35,1469.9227451866986,2025,All
